# List from http://www.wordfrequency.info/top5000.asp
# Word	POS	Frequency	Dispersion
alone	r	34982 	0.96
customer	n	36000 	0.94
suffer	v	34675 	0.97
speech	n	35504 	0.95
successful	j	35459 	0.95
option	n	35434 	0.95
participant	n	41462 	0.81
southern	j	35314 	0.95
fresh	j	35974 	0.93
eventually	r	34534 	0.97
no	p	35016 	0.96
forest	n	35429 	0.94
video	n	35230 	0.95
global	j	36381 	0.92
Senate	n	36809 	0.91
reform	n	36103 	0.92
access	n	35310 	0.94
restaurant	n	35898 	0.93
judge	n	35464 	0.94
publish	v	35062 	0.95
cost	v	34941 	0.95
relation	n	36963 	0.89
like	c	35636 	0.93
release	v	34301 	0.96
own	v	34577 	0.95
bird	n	34835 	0.94
opinion	n	34501 	0.95
credit	n	34578 	0.95
critical	j	35824 	0.92
corner	n	35496 	0.93
concerned	j	34331 	0.96
recall	v	34442 	0.95
version	n	34456 	0.95
stare	v	39266 	0.83
safety	n	34188 	0.96
effective	j	35851 	0.91
neighborhood	n	34691 	0.94
original	j	34368 	0.95
act	n	34104 	0.96
troop	n	36001 	0.91
income	n	34925 	0.93
directly	r	34090 	0.96
hurt	v	34445 	0.94
species	n	35804 	0.91
immediately	r	33067 	0.98
track	n	33788 	0.96
basic	j	34788 	0.93
strike	v	33238 	0.97
hope	n	33019 	0.98
sky	n	35141 	0.92
freedom	n	34174 	0.94
absolutely	r	36740 	0.88
plane	n	33900 	0.95
nobody	p	34280 	0.94
achieve	v	35166 	0.92
object	n	35040 	0.92
attitude	n	35437 	0.91
labor	n	34400 	0.93
refer	v	34317 	0.94
concept	n	35944 	0.89
client	n	34027 	0.94
powerful	j	33151 	0.97
perfect	j	33456 	0.96
nine	m	32967 	0.97
therefore	r	35842 	0.89
conduct	v	34909 	0.91
announce	v	33305 	0.96
conversation	n	33046 	0.96
examine	v	35826 	0.89
touch	v	34737 	0.92
please	r	34709 	0.92
attend	v	33380 	0.95
completely	r	32550 	0.98
vote	v	35224 	0.9
variety	n	34242 	0.93
sleep	v	34801 	0.91
turn	n	32944 	0.96
involved	j	33428 	0.95
investigation	n	33849 	0.94
nuclear	j	34264 	0.92
researcher	n	34742 	0.91
press	n	33410 	0.94
conflict	n	34710 	0.91
spirit	n	32942 	0.96
experience	v	34009 	0.92
replace	v	32688 	0.96
British	j	32929 	0.95
encourage	v	33348 	0.94
argument	n	33394 	0.94
by	r	32560 	0.96
once	c	32180 	0.97
camp	n	32659 	0.95
brain	n	32852 	0.95
feature	n	33344 	0.93
afternoon	n	33202 	0.94
AM	r	34451 	0.9
weekend	n	33239 	0.93
dozen	m	32432 	0.96
possibility	n	32466 	0.95
along	r	32475 	0.95
insurance	n	32928 	0.94
department	n	32252 	0.96
battle	n	31989 	0.96
beginning	n	31866 	0.97
date	n	31467 	0.98
generally	r	33191 	0.93
African	j	34557 	0.89
very	j	31807 	0.96
sorry	j	34270 	0.89
crisis	n	32924 	0.93
complete	v	32813 	0.93
fan	n	32919 	0.93
stick	v	32259 	0.94
define	v	33958 	0.9
easily	r	31755 	0.96
through	r	31838 	0.96
hole	n	32302 	0.94
element	n	33053 	0.92
vision	n	32358 	0.94
status	n	33511 	0.91
normal	j	31265 	0.97
Chinese	j	32334 	0.94
ship	n	32588 	0.93
solution	n	32052 	0.94
stone	n	32531 	0.93
slowly	r	33403 	0.9
scale	n	34375 	0.88
bit	r	32087 	0.94
university	n	33000 	0.91
introduce	v	31345 	0.96
driver	n	31633 	0.95
attempt	n	31944 	0.94
park	n	32322 	0.93
spot	n	31612 	0.95
lack	n	32157 	0.93
ice	n	31686 	0.95
boat	n	32079 	0.93
drink	v	32078 	0.93
sun	n	32646 	0.92
front	j	32087 	0.93
distance	n	31380 	0.95
wood	n	31801 	0.93
handle	v	30634 	0.97
truck	n	31536 	0.94
return	n	31058 	0.95
mountain	n	31322 	0.94
survey	n	32784 	0.9
supposed	j	31005 	0.95
tradition	n	32110 	0.92
winter	n	31227 	0.95
village	n	30741 	0.96
Soviet	j	36193 	0.82
refuse	v	30173 	0.98
sales	n	32145 	0.91
roll	v	31592 	0.93
communication	n	31577 	0.93
run	n	31325 	0.94
screen	n	30758 	0.95
gain	v	30667 	0.95
resident	n	31836 	0.92
hide	v	31098 	0.94
gold	n	30733 	0.95
club	n	30800 	0.95
future	j	31494 	0.92
farm	n	30291 	0.96
potential	j	31289 	0.93
increase	n	31247 	0.93
middle	n	30199 	0.96
European	j	31455 	0.92
presence	n	30624 	0.95
independent	j	31044 	0.93
district	n	31327 	0.92
shape	n	30396 	0.95
reader	n	31442 	0.92
Ms	n	31610 	0.91
contract	n	30906 	0.93
crowd	n	30542 	0.94
Christian	j	30726 	0.94
express	v	30947 	0.93
apartment	n	31012 	0.93
willing	j	29635 	0.97
strength	n	29769 	0.96
previous	j	30490 	0.94
band	n	29769 	0.96
obviously	r	31299 	0.91
horse	n	30993 	0.92
interested	j	29155 	0.98
target	n	29866 	0.96
prison	n	30248 	0.94
ride	v	30476 	0.94
guard	n	30159 	0.94
terms	i	30996 	0.92
demand	n	30519 	0.93
reporter	n	30416 	0.93
deliver	v	29169 	0.97
text	n	32316 	0.88
share	n	30752 	0.92
tool	n	30286 	0.93
wild	j	29473 	0.96
vehicle	n	29421 	0.96
observe	v	30737 	0.92
flight	n	29535 	0.95
inside	r	30715 	0.91
facility	n	30107 	0.93
understanding	n	31319 	0.89
average	j	29717 	0.94
emerge	v	29496 	0.95
advantage	n	29340 	0.95
quick	j	29108 	0.96
light	j	29731 	0.94
leadership	n	30047 	0.93
earn	v	29560 	0.94
pound	n	29946 	0.93
basis	n	30377 	0.92
bright	j	29780 	0.93
operate	v	29345 	0.95
guest	n	29328 	0.95
sample	n	32436 	0.86
contribute	v	30090 	0.92
tiny	j	29756 	0.93
block	n	28826 	0.96
protection	n	29336 	0.94
settle	v	28827 	0.96
feed	v	28494 	0.97
collect	v	28946 	0.95
additional	j	29771 	0.93
while	n	29579 	0.93
highly	r	29554 	0.93
identity	n	31163 	0.88
title	n	29210 	0.94
mostly	r	28178 	0.97
lesson	n	28623 	0.96
faith	n	28710 	0.95
river	n	28862 	0.95
promote	v	29679 	0.92
living	n	28736 	0.95
present	j	30645 	0.89
count	v	28836 	0.95
unless	c	27908 	0.98
marry	v	28722 	0.95
tomorrow	r	30098 	0.91
technique	n	29828 	0.91
path	n	28344 	0.96
ear	n	29597 	0.92
shop	n	28589 	0.95
folk	n	28698 	0.94
order	v	27950 	0.97
principle	n	30011 	0.9
survive	v	27682 	0.98
lift	v	29354 	0.92
border	n	28636 	0.94
competition	n	28752 	0.93
jump	v	28504 	0.94
gather	v	27659 	0.97
limit	v	28901 	0.93
fit	v	27875 	0.96
claim	n	28609 	0.94
cry	v	29690 	0.9
equipment	n	28023 	0.95
worth	i	27687 	0.97
associate	v	30406 	0.88
critic	n	28244 	0.94
warm	j	28600 	0.93
aspect	n	29460 	0.9
result	v	29515 	0.9
insist	v	27205 	0.97
failure	n	28234 	0.94
annual	j	28471 	0.93
French	j	27590 	0.96
Christmas	n	28046 	0.94
comment	n	27712 	0.95
responsible	j	27569 	0.96
affair	n	27432 	0.96
approach	v	27449 	0.96
until	i	27007 	0.97
procedure	n	29044 	0.9
regular	j	27244 	0.96
spread	v	27266 	0.96
chairman	n	28560 	0.92
baseball	n	28551 	0.92
soft	j	27970 	0.94
ignore	v	27023 	0.97
egg	n	27917 	0.94
measure	v	28612 	0.91
belief	n	28844 	0.91
demonstrate	v	29170 	0.9
anybody	p	28704 	0.91
murder	n	28335 	0.92
gift	n	27050 	0.96
religion	n	28220 	0.92
review	n	28141 	0.93
editor	n	27734 	0.94
past	i	28278 	0.92
engage	v	28194 	0.92
coffee	n	28331 	0.92
document	n	29437 	0.88
speed	n	27740 	0.93
cross	v	27524 	0.94
influence	n	28387 	0.91
anyway	r	28170 	0.92
threaten	v	26587 	0.97
commit	v	26943 	0.96
female	j	27952 	0.92
youth	n	27755 	0.93
wave	n	26844 	0.96
move	n	26717 	0.96
afraid	j	27727 	0.93
quarter	n	27125 	0.95
background	n	26907 	0.96
native	j	28026 	0.92
broad	j	27191 	0.94
wonderful	j	27494 	0.93
deny	v	26675 	0.96
apparently	r	26513 	0.97
slightly	r	26887 	0.95
reaction	n	26771 	0.96
twice	r	26450 	0.97
suit	n	27066 	0.95
perspective	n	28324 	0.9
growing	j	26858 	0.95
blow	v	27254 	0.94
construction	n	27114 	0.94
kind	r	29474 	0.86
intelligence	n	27555 	0.92
destroy	v	26177 	0.97
cook	v	27725 	0.91
connection	n	26552 	0.95
charge	v	26432 	0.96
burn	v	26646 	0.95
shoe	n	26945 	0.94
view	v	27258 	0.92
grade	n	27178 	0.92
context	n	29113 	0.86
committee	n	26697 	0.94
hey	u	27659 	0.91
mistake	n	26080 	0.96
focus	n	26815 	0.93
smile	n	28698 	0.87
location	n	26463 	0.94
clothes	n	27033 	0.92
Indian	j	27100 	0.92
quiet	j	26732 	0.93
dress	v	26669 	0.93
promise	v	25720 	0.97
aware	j	25503 	0.97
neighbor	n	25497 	0.97
complete	j	25699 	0.97
drive	n	26373 	0.94
function	n	28011 	0.88
bone	n	26282 	0.94
active	j	26507 	0.93
extend	v	25969 	0.95
chief	j	26456 	0.93
average	n	26568 	0.93
combine	v	26570 	0.93
wine	n	26682 	0.92
below	r	26765 	0.92
cool	j	26279 	0.94
voter	n	27768 	0.89
mean	n	28991 	0.85
demand	v	25207 	0.97
learning	n	28869 	0.85
bus	n	25850 	0.95
hell	n	27278 	0.9
dangerous	j	25170 	0.97
remind	v	25525 	0.96
moral	j	26980 	0.91
United	j	26396 	0.93
category	n	27219 	0.9
relatively	r	26476 	0.92
victory	n	26422 	0.92
key	n	25436 	0.96
academic	j	28216 	0.86
visit	n	25000 	0.97
Internet	n	26983 	0.9
healthy	j	26009 	0.94
fire	v	25390 	0.96
negative	j	26847 	0.9
following	j	26643 	0.91
historical	j	27266 	0.89
medicine	n	25511 	0.95
tour	n	25781 	0.94
depend	v	25405 	0.95
photo	n	25492 	0.94
finding	n	28246 	0.85
grab	v	26951 	0.89
direct	j	26008 	0.92
classroom	n	27531 	0.87
contact	n	25218 	0.95
justice	n	25377 	0.95
participate	v	26500 	0.91
daily	j	25179 	0.95
fair	j	25064 	0.96
pair	n	25289 	0.95
famous	j	24631 	0.97
exercise	n	25934 	0.92
knee	n	25912 	0.92
flower	n	25642 	0.93
tape	n	25730 	0.93
hire	v	25073 	0.95
familiar	j	24515 	0.97
appropriate	j	26237 	0.91
supply	n	24920 	0.96
fully	r	24842 	0.96
cut	n	25327 	0.94
will	n	24351 	0.98
actor	n	24848 	0.96
birth	n	24515 	0.97
search	n	27087 	0.87
tie	v	24408 	0.97
democracy	n	26039 	0.91
eastern	j	25103 	0.94
primary	j	26043 	0.9
yesterday	r	26215 	0.9
circle	n	24735 	0.95
device	n	24918 	0.94
progress	n	24645 	0.95
next	i	25720 	0.91
front	n	24402 	0.96
bottom	n	24653 	0.95
island	n	24311 	0.96
exchange	n	24826 	0.94
clean	j	24325 	0.96
studio	n	24765 	0.94
train	v	23990 	0.97
lady	n	25436 	0.92
colleague	n	24370 	0.95
application	n	25735 	0.9
neck	n	25716 	0.9
lean	v	26896 	0.86
damage	n	24155 	0.96
plastic	n	24563 	0.94
tall	j	25304 	0.92
plate	n	24592 	0.94
hate	v	24921 	0.93
otherwise	r	23793 	0.97
writing	n	24995 	0.92
press	v	24716 	0.93
male	j	24873 	0.93
start	n	24071 	0.96
alive	j	24184 	0.95
expression	n	24748 	0.93
football	n	25271 	0.91
intend	v	23554 	0.97
attack	v	23971 	0.95
chicken	n	24465 	0.93
army	n	23929 	0.95
abuse	n	24534 	0.93
theater	n	24447 	0.93
shut	v	24773 	0.92
map	n	23666 	0.96
extra	j	24006 	0.95
session	n	24010 	0.95
danger	n	23244 	0.97
welcome	v	25241 	0.9
domestic	j	24313 	0.93
lots	p	23750 	0.95
literature	n	26254 	0.86
rain	n	24134 	0.93
desire	n	23994 	0.94
assessment	n	26318 	0.85
injury	n	23935 	0.94
respect	n	23274 	0.96
northern	j	23783 	0.94
nod	v	27283 	0.82
paint	v	24038 	0.93
fuel	n	23934 	0.94
leaf	n	24044 	0.93
direct	v	23298 	0.96
dry	j	23809 	0.94
Russian	j	23739 	0.94
instruction	n	25190 	0.89
fight	n	23211 	0.96
pool	n	23346 	0.96
climb	v	24367 	0.92
sweet	j	23843 	0.94
lead	n	23301 	0.96
engine	n	23617 	0.94
fourth	m	23227 	0.96
salt	n	24711 	0.9
expand	v	23417 	0.94
importance	n	24946 	0.89
metal	n	23317 	0.95
fat	n	24844 	0.89
ticket	n	23902 	0.92
software	n	23954 	0.92
disappear	v	23389 	0.94
corporate	j	23621 	0.93
strange	j	23744 	0.93
lip	n	25250 	0.87
reading	n	23919 	0.92
urban	j	23889 	0.92
mental	j	23650 	0.93
increasingly	r	23529 	0.93
lunch	n	23220 	0.94
educational	j	25282 	0.87
somewhere	r	23527 	0.93
farmer	n	23005 	0.95
above	r	23866 	0.92
sugar	n	24310 	0.9
planet	n	23567 	0.93
favorite	j	23159 	0.94
explore	v	23744 	0.92
obtain	v	24538 	0.89
enemy	n	22621 	0.97
greatest	j	22673 	0.96
complex	j	23751 	0.92
surround	v	22391 	0.97
athlete	n	23868 	0.91
invite	v	22158 	0.98
repeat	v	22622 	0.96
carefully	r	22837 	0.95
soul	n	22713 	0.96
scientific	j	23691 	0.92
impossible	j	22233 	0.98
panel	n	22529 	0.96
meaning	n	24064 	0.9
mom	n	23450 	0.92
married	j	22352 	0.97
alone	j	23106 	0.93
instrument	n	23831 	0.91
predict	v	22942 	0.94
weather	n	22586 	0.95
presidential	j	24057 	0.89
emotional	j	22773 	0.94
commitment	n	23152 	0.93
Supreme	j	23904 	0.9
bear	v	22190 	0.97
pocket	n	23580 	0.91
thin	j	23194 	0.92
temperature	n	23111 	0.93
surprise	n	22275 	0.96
poll	n	24009 	0.89
proposal	n	22830 	0.94
consequence	n	23307 	0.92
half	n	22029 	0.97
breath	n	24668 	0.87
sight	n	22878 	0.93
cover	n	22301 	0.96
balance	n	22243 	0.96
adopt	v	22880 	0.93
minority	n	23167 	0.92
straight	r	22929 	0.93
attempt	v	22758 	0.93
connect	v	22100 	0.96
works	n	22722 	0.93
teaching	n	24387 	0.87
belong	v	21856 	0.97
aid	n	22642 	0.93
advice	n	21970 	0.96
okay	r	24243 	0.87
photograph	n	22016 	0.96
empty	j	23365 	0.9
regional	j	23182 	0.91
trail	n	23030 	0.91
novel	n	22392 	0.94
code	n	22015 	0.95
somehow	r	22267 	0.94
organize	v	22389 	0.94
jury	n	24072 	0.87
breast	n	22362 	0.94
Iraqi	j	25446 	0.82
human	n	22022 	0.95
acknowledge	v	21983 	0.95
theme	n	22494 	0.93
storm	n	22562 	0.93
union	n	22380 	0.93
record	v	21939 	0.95
desk	n	23455 	0.89
fear	v	21333 	0.98
thanks	n	23061 	0.9
fruit	n	22401 	0.93
under	r	21521 	0.97
expensive	j	21706 	0.96
yellow	j	22452 	0.93
conclusion	n	23034 	0.9
prime	j	22075 	0.94
shadow	n	22803 	0.91
struggle	v	21370 	0.97
conclude	v	22247 	0.93
analyst	n	22662 	0.91
dance	n	21799 	0.95
limit	n	21714 	0.95
like	j	21723 	0.95
regulation	n	22479 	0.92
being	n	21695 	0.95
last	v	21219 	0.97
ring	n	21873 	0.94
largely	r	22097 	0.93
shift	v	21323 	0.96
revenue	n	22445 	0.92
mark	v	21236 	0.97
locate	v	21843 	0.94
county	n	22675 	0.9
appearance	n	21146 	0.97
package	n	21665 	0.95
difficulty	n	22288 	0.92
bridge	n	21497 	0.95
recommend	v	21707 	0.94
obvious	j	21052 	0.97
train	n	21766 	0.94
basically	r	23265 	0.88
e-mail	n	22467 	0.91
generate	v	22213 	0.92
anymore	r	21771 	0.94
propose	v	21691 	0.94
thinking	n	21663 	0.94
possibly	r	20953 	0.97
trend	n	21894 	0.93
visitor	n	21490 	0.95
loan	n	22324 	0.91
currently	r	21636 	0.94
comfortable	j	21101 	0.96
investor	n	22410 	0.91
but	i	20961 	0.97
profit	n	21754 	0.93
angry	j	21485 	0.94
crew	n	21238 	0.95
deep	r	21413 	0.95
accident	n	20964 	0.97
male	n	22398 	0.9
meal	n	21556 	0.94
hearing	n	21560 	0.94
traffic	n	21296 	0.95
muscle	n	21931 	0.92
notion	n	21801 	0.93
capture	v	21018 	0.96
prefer	v	20946 	0.96
truly	r	20576 	0.98
earth	n	21350 	0.94
Japanese	j	21800 	0.92
chest	n	22508 	0.89
search	v	20943 	0.96
thick	j	21932 	0.92
cash	n	21343 	0.94
museum	n	21715 	0.93
beauty	n	21060 	0.95
emergency	n	20796 	0.96
unique	j	21436 	0.93
feature	v	21678 	0.92
internal	j	22025 	0.91
ethnic	j	22632 	0.88
link	v	21335 	0.94
stress	n	21813 	0.92
content	n	21821 	0.91
select	v	21617 	0.92
root	n	20774 	0.96
nose	n	21938 	0.91
declare	v	20550 	0.97
outside	r	21556 	0.92
appreciate	v	20806 	0.95
actual	j	21321 	0.93
bottle	n	21569 	0.92
hardly	r	20757 	0.95
setting	n	22004 	0.9
launch	v	20767 	0.95
dress	n	21362 	0.92
file	n	20832 	0.95
sick	j	20906 	0.94
outcome	n	22721 	0.87
ad	n	21064 	0.93
defend	v	20510 	0.96
matter	v	20534 	0.96
judge	v	20320 	0.97
duty	n	20204 	0.97
sheet	n	20787 	0.94
ought	v	21552 	0.91
ensure	v	21341 	0.92
Catholic	j	20866 	0.94
extremely	r	20310 	0.96
extent	n	21727 	0.9
component	n	22085 	0.88
mix	v	20642 	0.95
long-term	j	20841 	0.94
slow	j	20404 	0.96
contrast	n	21581 	0.91
zone	n	20472 	0.95
wake	v	21330 	0.91
challenge	v	20510 	0.95
airport	n	20897 	0.93
chief	n	20453 	0.95
brown	j	21175 	0.92
standard	j	20917 	0.93
shirt	n	21486 	0.9
pilot	n	20192 	0.96
warn	v	19996 	0.97
ultimately	r	20387 	0.95
cat	n	21135 	0.92
contribution	n	20912 	0.92
capacity	n	21102 	0.92
ourselves	p	19926 	0.97
estate	n	20673 	0.93
guide	n	20646 	0.93
circumstance	n	20310 	0.95
snow	n	21011 	0.92
English	j	20235 	0.95
politician	n	20360 	0.95
steal	v	20296 	0.95
pursue	v	20136 	0.96
slip	v	21233 	0.91
percentage	n	20774 	0.92
meat	n	20271 	0.95
funny	j	20399 	0.94
neither	r	20100 	0.95
soil	n	20916 	0.91
influence	v	21448 	0.89
surgery	n	20118 	0.95
correct	j	20613 	0.93
Jewish	j	20196 	0.94
blame	v	19798 	0.96
estimate	v	20474 	0.93
due	i	21141 	0.9
basketball	n	20955 	0.91
late	r	19727 	0.96
golf	n	20979 	0.91
investigate	v	20117 	0.94
crazy	j	20345 	0.93
significantly	r	22038 	0.86
chain	n	19688 	0.96
address	n	19564 	0.97
branch	n	19633 	0.96
combination	n	20026 	0.94
just	j	20096 	0.94
frequently	r	20508 	0.92
governor	n	20802 	0.91
relief	n	19493 	0.97
user	n	20681 	0.91
dad	n	20164 	0.94
kick	v	20092 	0.94
part	r	19900 	0.95
manner	n	20012 	0.94
ancient	j	19818 	0.95
silence	n	21169 	0.89
rating	n	20413 	0.92
golden	j	19852 	0.95
motion	n	19649 	0.95
German	j	20096 	0.93
gender	n	22190 	0.85
solve	v	19501 	0.96
fee	n	20263 	0.93
landscape	n	20171 	0.93
used	j	19130 	0.98
bowl	n	20662 	0.91
equal	j	19952 	0.94
long	c	19227 	0.97
official	j	19628 	0.95
forth	r	19531 	0.96
frame	n	20016 	0.93
typical	j	19724 	0.95
except	i	19594 	0.95
conservative	j	19778 	0.94
eliminate	v	19773 	0.94
host	n	19389 	0.96
hall	n	20236 	0.92
trust	v	19482 	0.95
ocean	n	19421 	0.96
score	v	20391 	0.91
row	n	19519 	0.95
producer	n	19679 	0.94
afford	v	19035 	0.97
meanwhile	r	19504 	0.95
regime	n	21101 	0.88
division	n	19772 	0.94
confirm	v	19327 	0.96
fix	v	19349 	0.96
appeal	n	19561 	0.95
mirror	n	20081 	0.92
tooth	n	20515 	0.9
smart	j	19370 	0.95
length	n	19624 	0.94
entirely	r	19075 	0.97
rely	v	19614 	0.94
topic	n	20640 	0.89
complain	v	19102 	0.97
issue	v	19300 	0.95
variable	n	22868 	0.81
back	v	19213 	0.96
range	v	20067 	0.92
telephone	n	19311 	0.95
perception	n	21086 	0.87
attract	v	19197 	0.96
confidence	n	18955 	0.97
bedroom	n	20387 	0.9
secret	n	19125 	0.96
debt	n	19506 	0.94
rare	j	18978 	0.97
his	p	19663 	0.93
tank	n	19158 	0.95
nurse	n	19385 	0.94
coverage	n	19522 	0.94
opposition	n	19847 	0.92
aside	r	19056 	0.96
anywhere	r	18970 	0.96
bond	n	19856 	0.92
file	v	19416 	0.94
pleasure	n	19099 	0.96
master	n	18880 	0.96
era	n	19209 	0.95
requirement	n	20358 	0.89
check	n	18764 	0.97
stand	n	18910 	0.96
fun	n	18984 	0.96
expectation	n	19603 	0.92
wing	n	19028 	0.95
separate	j	19064 	0.95
now	c	19126 	0.95
clear	v	19013 	0.95
struggle	n	19014 	0.95
mean	j	19792 	0.91
somewhat	r	18801 	0.96
pour	v	19300 	0.93
stir	v	20174 	0.89
judgment	n	19315 	0.93
clean	v	18766 	0.96
except	c	18857 	0.95
beer	n	19349 	0.93
English	n	18719 	0.96
reference	n	19559 	0.92
tear	n	19819 	0.9
doubt	n	18542 	0.97
grant	v	18598 	0.96
seriously	r	18328 	0.98
account	v	19403 	0.92
minister	n	19154 	0.93
totally	r	18720 	0.95
hero	n	18348 	0.97
industrial	j	19413 	0.92
cloud	n	19214 	0.92
stretch	v	19014 	0.93
winner	n	19216 	0.92
volume	n	18989 	0.93
travel	n	18634 	0.95
seed	n	19079 	0.93
surprised	j	18822 	0.94
rest	v	18915 	0.94
fashion	n	18483 	0.96
pepper	n	20220 	0.87
separate	v	18251 	0.97
busy	j	18500 	0.95
intervention	n	21021 	0.84
copy	n	18244 	0.97
tip	n	18868 	0.93
below	i	18353 	0.96
cheap	j	18371 	0.96
aim	v	18194 	0.97
cite	v	19011 	0.93
welfare	n	19580 	0.9
vegetable	n	19363 	0.91
gray	j	19408 	0.9
dish	n	18887 	0.93
beach	n	18451 	0.95
improvement	n	18977 	0.92
everywhere	r	18126 	0.96
opening	n	18058 	0.97
overall	j	19031 	0.92
divide	v	18337 	0.95
initial	j	19019 	0.92
terrible	j	18659 	0.93
oppose	v	18484 	0.94
contemporary	j	19293 	0.9
route	n	18313 	0.95
multiple	j	19512 	0.89
essential	j	19030 	0.91
question	v	17924 	0.97
league	n	19766 	0.88
criminal	j	18424 	0.94
careful	j	17885 	0.97
core	n	18571 	0.93
upper	j	18196 	0.95
rush	v	18561 	0.93
necessarily	r	18334 	0.94
specifically	r	18873 	0.92
tired	j	18597 	0.93
rise	n	18055 	0.96
tie	n	17787 	0.97
employ	v	18912 	0.91
holiday	n	18299 	0.94
dance	v	18263 	0.94
vast	j	17836 	0.96
resolution	n	18922 	0.91
household	n	18450 	0.93
fewer	d	18223 	0.94
abortion	n	18925 	0.91
apart	r	17872 	0.96
witness	n	18920 	0.91
match	v	17788 	0.97
barely	r	18533 	0.93
sector	n	19103 	0.9
representative	n	18189 	0.94
lack	v	18215 	0.94
beneath	i	19047 	0.9
beside	i	19952 	0.86
black	n	18441 	0.93
incident	n	17880 	0.96
limited	j	18532 	0.92
proud	j	17841 	0.96
flow	n	18469 	0.92
faculty	n	20104 	0.85
increased	j	18984 	0.9
waste	n	19069 	0.89
merely	r	18094 	0.94
mass	n	18107 	0.94
emphasize	v	18933 	0.9
experiment	n	18440 	0.92
definitely	r	18214 	0.93
bomb	n	18284 	0.93
enormous	j	17482 	0.97
tone	n	17954 	0.95
liberal	j	18228 	0.93
massive	j	17551 	0.97
engineer	n	17991 	0.94
wheel	n	18296 	0.93
female	n	18932 	0.9
decline	v	18058 	0.94
invest	v	18080 	0.94
promise	n	17342 	0.98
cable	n	18277 	0.93
towards	i	18305 	0.93
expose	v	17581 	0.96
rural	j	18665 	0.91
AIDS	n	19384 	0.87
Jew	n	17893 	0.95
narrow	j	17840 	0.95
cream	n	18443 	0.92
secretary	n	17922 	0.94
gate	n	17999 	0.94
solid	j	17675 	0.96
hill	n	18131 	0.93
typically	r	18254 	0.92
noise	n	18024 	0.93
grass	n	18139 	0.93
unfortunately	r	17482 	0.96
hat	n	18198 	0.92
legislation	n	17934 	0.94
succeed	v	17423 	0.96
either	d	17257 	0.97
celebrate	v	17421 	0.96
achievement	n	18998 	0.88
fishing	n	18103 	0.93
drink	n	18227 	0.92
accuse	v	17778 	0.94
hand	v	18231 	0.92
useful	j	18205 	0.92
land	v	17401 	0.96
secret	j	17305 	0.96
reject	v	17656 	0.94
talent	n	17474 	0.95
taste	n	17409 	0.96
characteristic	n	19621 	0.85
milk	n	17812 	0.93
escape	v	17195 	0.97
cast	v	17163 	0.97
sentence	n	17162 	0.97
unusual	j	16997 	0.97
closely	r	17220 	0.96
convince	v	16948 	0.98
height	n	17403 	0.95
physician	n	17707 	0.93
assess	v	19220 	0.86
sleep	n	17882 	0.92
plenty	p	17445 	0.95
ride	n	17654 	0.93
virtually	r	17426 	0.94
first	r	17332 	0.95
addition	i	17641 	0.93
sharp	j	17403 	0.94
creative	j	17597 	0.93
lower	v	17206 	0.95
behind	r	17347 	0.95
approve	v	17329 	0.95
explanation	n	17712 	0.92
outside	j	16797 	0.97
gay	j	17428 	0.94
campus	n	17541 	0.93
proper	j	17024 	0.96
live	j	17365 	0.94
guilty	j	17596 	0.93
living	j	16823 	0.97
acquire	v	17435 	0.93
compete	v	17264 	0.94
technical	j	17594 	0.92
plus	i	17202 	0.94
mind	v	17378 	0.93
potential	n	17523 	0.92
immigrant	n	17615 	0.92
weak	j	16628 	0.97
illegal	j	17258 	0.94
hi	u	18910 	0.85
alternative	n	17197 	0.94
interaction	n	19144 	0.84
column	n	16810 	0.96
personality	n	16933 	0.95
signal	n	16835 	0.95
curriculum	n	19193 	0.84
list	v	17006 	0.94
honor	n	16686 	0.96
passenger	n	16933 	0.95
assistance	n	17396 	0.92
forever	r	16890 	0.95
fun	j	16932 	0.94
regard	v	16890 	0.94
Israeli	j	17967 	0.89
association	n	17759 	0.9
twenty	m	17491 	0.91
knock	v	17146 	0.93
review	v	16916 	0.94
wrap	v	17073 	0.93
lab	n	16498 	0.96
offer	n	16612 	0.95
display	v	16806 	0.94
criticism	n	17049 	0.93
asset	n	16977 	0.93
depression	n	16976 	0.93
spiritual	j	17074 	0.92
musical	j	16931 	0.93
journalist	n	16858 	0.93
prayer	n	16296 	0.97
suspect	v	16194 	0.97
scholar	n	17482 	0.9
warning	n	16205 	0.97
climate	n	17189 	0.91
cheese	n	17416 	0.9
observation	n	17500 	0.9
childhood	n	16268 	0.96
payment	n	16704 	0.94
sir	n	17733 	0.88
permit	v	16764 	0.93
cigarette	n	17160 	0.91
definition	n	17499 	0.89
priority	n	16586 	0.94
bread	n	16686 	0.94
creation	n	16967 	0.92
graduate	n	16803 	0.93
request	n	16241 	0.96
emotion	n	16062 	0.97
scream	v	17342 	0.9
dramatic	j	16233 	0.96
universe	n	16596 	0.94
gap	n	16216 	0.96
excellent	j	16094 	0.96
deeply	r	15848 	0.98
prosecutor	n	17260 	0.9
mark	n	15973 	0.97
green	n	16776 	0.92
lucky	j	16550 	0.94
drag	v	16685 	0.93
airline	n	17164 	0.9
library	n	16314 	0.95
agenda	n	16449 	0.94
recover	v	15786 	0.98
factory	n	16240 	0.95
selection	n	16706 	0.92
primarily	r	17015 	0.91
roof	n	16520 	0.93
unable	j	15901 	0.97
expense	n	16274 	0.94
initiative	n	16445 	0.93
